,source_name,domain,visits,num_articles
0,CBC,cbc.ca,37800000,93
1,CNN,cnn.com,23400000,58
2,CTV News,ctvnews.ca,23140000,57
3,BBC,bbc.com,22090000,55
4,NY Times,nytimes.com,21750000,54
5,Radio Canada,radio-canada.ca,14080000,35
6,La Presse,lapresse.ca,12440000,31
7,Global News,globalnews.ca,10440000,26
8,The Guardian,theguardian.com,7990000,20
9,Toronto Star,thestar.com,6320000,15
10,City News,citynews.ca,5560000,14
11,CP24,cp24.com,5230000,13
12,Fox News,foxnews.com,4440000,11
13,Daily Hive,dailyhive.com,3730000,9
14,National Post,nationalpost.com,3540000,9
